               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.078135,            0.032006,                   0,             0.38851,                 0.2,             0.19181,            0.080982,            0.074957,            0.028369,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.076615,            0.039653,                   0,             0.96831,                 0.2,             0.30079,              0.0488,            0.070824,            0.028679,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.072817,            0.032837,                   0,             0.96831,                 0.2,             0.30079,              0.0488,            0.070824,            0.028679,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.077273,             0.05182,                   0,             0.96831,                 0.2,             0.30079,              0.0488,            0.070824,            0.028679,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.075323,            0.043149,                   0,             0.96922,                 0.2,             0.28332,            0.050694,            0.067984,            0.027873,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.073697,            0.047375,                   0,             0.96922,                 0.2,             0.28332,            0.050694,            0.067984,            0.027873,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.072306,            0.038515,                   0,             0.96922,                 0.2,             0.28332,            0.050694,            0.067984,            0.027873,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.072617,            0.036815,                   0,             0.15221,                 0.2,            0.080842,            0.013045,              0.0701,            0.025695,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.068255,            0.031534,                   0,             0.15221,                 0.2,            0.080842,            0.013045,              0.0701,            0.025695,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.071272,            0.032914,                   0,             0.15221,                 0.2,            0.080842,            0.013045,              0.0701,            0.025695,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.073194,            0.042852,                   0,             0.15221,                 0.2,            0.080842,            0.013045,              0.0701,            0.025695,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.072083,            0.038626,                   0,            0.090917,                 0.5,            0.069741,            0.015464,            0.070939,            0.024725,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.069478,            0.034487,                   0,            0.090917,                 0.5,            0.069741,            0.015464,            0.070939,            0.024725,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.072293,            0.045254,                   0,            0.090917,                 0.5,            0.069741,            0.015464,            0.070939,            0.024725,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.070458,            0.029915,                   0,             0.09963,                 0.4,              0.0857,            0.018307,            0.072767,            0.023561,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.073372,            0.040668,                   0,             0.09963,                 0.4,              0.0857,            0.018307,            0.072767,            0.023561,                   0,            0.008284,            0.008284,            0.008284
