               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.052366,            0.023797,                   0,             0.36847,                0.66,             0.46031,             0.14874,            0.058296,            0.013819,                   0,           0.0023704,           0.0023704,             0.06437
                  39,            0.050251,            0.019049,                   0,             0.74441,                0.76,             0.78818,             0.23257,            0.054364,            0.013377,                   0,           0.0023942,           0.0023942,            0.063394
                  40,            0.049884,            0.020166,                   0,             0.53224,                0.82,             0.67641,             0.28383,            0.055064,            0.012498,                   0,            0.002416,            0.002416,            0.062416
                  41,            0.049224,            0.020973,                   0,             0.66626,             0.67877,             0.59638,              0.1107,            0.053811,            0.012987,                   0,           0.0024358,           0.0024358,            0.061436
                  42,            0.050921,            0.019786,                   0,             0.65485,                 0.8,             0.73939,             0.31483,            0.050812,            0.012234,                   0,           0.0024536,           0.0024536,            0.060454
                  43,            0.049407,             0.01956,                   0,             0.68751,                0.82,             0.76608,             0.26449,            0.047164,            0.011694,                   0,           0.0024695,           0.0024695,            0.059469
                  44,             0.04532,            0.019045,                   0,             0.87694,             0.85518,             0.90821,             0.44946,            0.042652,            0.011147,                   0,           0.0024834,           0.0024834,            0.058483
                  45,            0.044071,            0.019758,                   0,             0.68166,                 0.9,             0.79098,             0.29533,            0.054601,            0.011421,                   0,           0.0024953,           0.0024953,            0.057495
                  46,            0.048883,             0.01607,                   0,             0.78127,                0.86,             0.83302,             0.38015,            0.042114,            0.010653,                   0,           0.0025052,           0.0025052,            0.056505
                  47,            0.044562,            0.018329,                   0,             0.63049,             0.71669,             0.73349,             0.21235,             0.04547,            0.010281,                   0,           0.0025131,           0.0025131,            0.055513
                  48,            0.049906,            0.019226,                   0,              0.6648,                0.84,             0.80467,             0.40252,            0.047522,           0.0096363,                   0,            0.002519,            0.002519,            0.054519
                  49,            0.047121,            0.018368,                   0,             0.58321,                0.84,             0.64495,             0.22805,            0.044358,           0.0094611,                   0,            0.002523,            0.002523,            0.053523
                  50,            0.039512,            0.018254,                   0,             0.70749,             0.91912,             0.86623,             0.22216,            0.043998,           0.0098357,                   0,            0.002525,            0.002525,            0.052525
                  51,            0.048454,            0.018135,                   0,             0.57682,                0.82,             0.73342,             0.47083,            0.045307,           0.0093439,                   0,            0.002525,            0.002525,            0.051525
                  52,            0.043714,            0.018085,                   0,             0.76979,                0.94,             0.90154,             0.32043,            0.041712,           0.0092657,                   0,            0.002523,            0.002523,            0.050523
